City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,73.72,light rain,-23.1203,-134.9692,People ThankYou
9,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
10,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Faanui,PF,76.6,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,Bosaso,SO,89.2,broken clouds,11.2842,49.1816,Red Sea Hotel
18,Jamestown,US,74.79,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Atar,MR,87.13,scattered clouds,20.5169,-13.0499,Oumou Elghoura
27,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
29,Khandyga,RU,71.35,overcast clouds,62.6667,135.6,Apel'sin
31,Saint-Philippe,RE,73.22,scattered clouds,-21.3585,55.7679,Le four à pain
32,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Pirineos
34,Sao Jose Da Coroa Grande,BR,74.21,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
38,Miri,MY,85.77,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
39,Laguna,US,77.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
44,Broome,US,77.7,overcast clouds,42.2506,-75.833,Chenango Valley State Park
45,Seoul,KR,78.24,moderate rain,37.5683,126.9778,LOTTE HOTEL SEOUL
47,Santa Ana,US,85.64,broken clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
50,Yanam,IN,83.12,overcast clouds,16.7333,82.2167,The Regency Hotel
51,Ulaangom,MN,77.13,broken clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
58,Aksu,CN,77.34,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
59,Esso,RU,75.22,scattered clouds,55.9333,158.7,Paramushir Tur
64,Arraial Do Cabo,BR,70.02,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
66,Hithadhoo,MV,81.68,broken clouds,-0.6,73.0833,Scoop Guest House
67,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
68,Butaritari,KI,82.06,light rain,3.0707,172.7902,Isles Sunset Lodge
70,Kavieng,PG,83.5,few clouds,-2.5744,150.7967,Nusa Island Retreat
73,Kutum,SD,73.02,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
74,Rosita,NI,73.04,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
81,Lamu,KE,75.45,scattered clouds,-2.2717,40.902,Lamu House
84,Del Rio,US,87.91,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
86,Fukue,JP,85.19,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
89,Atuona,PF,77.54,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
92,Luang Prabang,LA,86.04,overcast clouds,19.8856,102.1347,The Apsara
93,Yenagoa,NG,73.35,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
95,San Clemente,US,82.22,scattered clouds,33.427,-117.612,Casablanca Inn
96,Kawalu,ID,81.37,broken clouds,-7.3817,108.2082,West Jontor
101,Pine Hill,US,84.02,scattered clouds,39.7843,-74.9921,Lindenwold Lodge
108,Velykyy Burluk,UA,75.81,broken clouds,50.0379,37.3987,Маляр Владислав
112,Padang,ID,86.05,few clouds,-0.9492,100.3543,Mercure Padang
113,Victoria,HK,82.26,moderate rain,22.2855,114.1577,Mini Central
115,Kvarkeno,RU,74.86,light rain,52.0833,59.725,"Ooo ""Kvarkeno"""
122,Todos Santos,MX,82.65,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
127,Marzuq,YE,78.76,broken clouds,14.4,46.4667,حيد القفلة
128,Hambantota,LK,84.52,broken clouds,6.1241,81.1185,Bungalow 63
129,Samarai,PG,80.92,broken clouds,-10.6167,150.6667,Nuli Sapi
