City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Condition
0,Qaanaaq,GL,2022-08-09 05:07:58,77.484,-69.3632,31.86,61,0,4.43,clear sky
1,Balakhninskiy,RU,2022-08-09 05:07:58,58.0106,114.2769,54.59,88,100,4.52,overcast clouds
2,Lavrentiya,RU,2022-08-09 05:07:59,65.5833,-171.0,43.92,77,52,9.82,broken clouds
3,Ushuaia,AR,2022-08-09 05:07:59,-54.8,-68.3,38.86,65,75,5.75,broken clouds
4,Requena,ES,2022-08-09 05:07:59,39.4883,-1.1004,68.52,73,0,2.51,clear sky
5,Okha,RU,2022-08-09 05:08:00,53.5739,142.9478,64.99,83,89,11.61,overcast clouds
6,Punta Arenas,CL,2022-08-09 05:04:00,-53.15,-70.9167,37.51,87,100,9.22,light rain
7,Rikitea,PF,2022-08-09 05:08:01,-23.1203,-134.9692,73.72,78,98,19.42,light rain
8,Iqaluit,CA,2022-08-09 05:08:01,63.7506,-68.5145,47.7,81,12,8.01,few clouds
9,Vaini,TO,2022-08-09 05:08:02,-21.2,-175.2,78.96,89,20,10.36,few clouds
10,Kapaa,US,2022-08-09 05:07:13,22.0752,-159.319,80.58,77,40,12.66,scattered clouds
11,Hobart,AU,2022-08-09 05:07:45,-42.8794,147.3294,55.26,58,20,5.75,few clouds
12,Faanui,PF,2022-08-09 05:08:03,-16.4833,-151.75,76.6,64,33,15.82,scattered clouds
13,Bluff,NZ,2022-08-09 05:08:03,-46.6,168.3333,42.8,61,4,13.82,clear sky
14,Cape Town,ZA,2022-08-09 05:05:03,-33.9258,18.4232,58.37,89,2,2.3,fog
15,Bosaso,SO,2022-08-09 05:08:04,11.2842,49.1816,89.2,42,63,27.47,broken clouds
16,Narsaq,GL,2022-08-09 05:08:04,60.9167,-46.05,44.82,86,73,1.9,broken clouds
17,Puerto Ayora,EC,2022-08-09 05:08:06,-0.7393,-90.3518,69.55,89,76,4.0,broken clouds
18,Jamestown,US,2022-08-09 05:04:04,42.097,-79.2353,74.79,71,100,11.5,overcast clouds
19,Lasa,IT,2022-08-09 05:08:06,46.6166,10.7002,58.37,78,0,2.82,clear sky
20,Busselton,AU,2022-08-09 05:08:07,-33.65,115.3333,52.03,70,77,18.86,broken clouds
21,Port Shepstone,ZA,2022-08-09 05:08:07,-30.7414,30.455,64.15,79,55,12.06,broken clouds
22,Stokmarknes,NO,2022-08-09 05:08:08,68.5646,14.9108,55.38,88,75,3.44,broken clouds
23,Lubango,AO,2022-08-09 05:08:08,-14.9172,13.4925,54.95,25,0,5.21,clear sky
24,Atar,MR,2022-08-09 05:08:09,20.5169,-13.0499,87.13,47,37,7.78,scattered clouds
25,Ilulissat,GL,2022-08-09 05:08:09,69.2167,-51.1,41.02,93,100,10.36,light intensity drizzle
26,Pisco,PE,2022-08-09 05:05:05,-13.7,-76.2167,57.02,88,4,3.44,smoke
27,Georgetown,MY,2022-08-09 05:08:10,5.4112,100.3354,89.53,62,20,5.75,few clouds
28,Nizhniy Odes,RU,2022-08-09 05:08:10,63.6445,54.856,64.94,46,53,6.24,broken clouds
29,Khandyga,RU,2022-08-09 04:58:36,62.6667,135.6,71.35,51,100,4.38,overcast clouds
30,Severo-Yeniseyskiy,RU,2022-08-09 05:08:11,60.3725,93.0408,64.89,57,100,2.53,overcast clouds
31,Saint-Philippe,RE,2022-08-09 05:08:12,-21.3585,55.7679,73.22,78,38,10.0,scattered clouds
32,San Cristobal,VE,2022-08-09 05:08:12,7.7669,-72.225,71.78,94,79,2.93,broken clouds
33,Norman Wells,CA,2022-08-09 05:08:13,65.282,-126.8329,60.93,54,43,6.35,scattered clouds
34,Sao Jose Da Coroa Grande,BR,2022-08-09 05:08:13,-8.8978,-35.1478,74.21,73,85,5.77,overcast clouds
35,Port Elizabeth,ZA,2022-08-09 05:05:39,-33.918,25.5701,53.31,99,78,8.66,broken clouds
36,Ukiah,US,2022-08-09 05:04:00,39.1502,-123.2078,69.69,52,0,5.75,clear sky
37,Tasiilaq,GL,2022-08-09 05:03:15,65.6145,-37.6368,39.36,96,100,5.91,overcast clouds
38,Miri,MY,2022-08-09 05:08:14,4.4148,114.0089,85.77,67,87,4.97,overcast clouds
39,Laguna,US,2022-08-09 05:08:15,38.421,-121.4238,77.34,56,0,10.36,clear sky
40,Walvis Bay,NA,2022-08-09 05:08:15,-22.9575,14.5053,52.09,87,38,9.33,scattered clouds
41,Honningsvag,NO,2022-08-09 05:08:15,70.9821,25.9704,51.55,76,0,9.22,clear sky
42,Wanaka,NZ,2022-08-09 05:08:16,-44.7,169.15,32.86,82,76,1.01,broken clouds
43,Mataura,NZ,2022-08-09 05:08:16,-46.1927,168.8643,42.48,67,3,6.06,clear sky
44,Broome,US,2022-08-09 05:09:17,42.2506,-75.833,77.7,80,100,8.05,overcast clouds
45,Seoul,KR,2022-08-09 05:05:06,37.5683,126.9778,78.24,98,100,3.98,moderate rain
46,Codrington,AU,2022-08-09 05:07:50,-38.2667,141.9667,57.38,52,7,6.42,clear sky
47,Santa Ana,US,2022-08-09 05:09:18,33.7456,-117.8678,85.64,73,75,3.44,broken clouds
48,Butembo,CD,2022-08-09 05:09:18,0.15,29.2833,60.3,80,50,1.95,scattered clouds
49,Yellowknife,CA,2022-08-09 05:06:37,62.456,-114.3525,57.56,82,91,5.01,overcast clouds
50,Yanam,IN,2022-08-09 05:09:19,16.7333,82.2167,83.12,73,100,12.88,overcast clouds
51,Ulaangom,MN,2022-08-09 05:09:19,49.9811,92.0667,77.13,35,66,7.29,broken clouds
52,Half Moon Bay,US,2022-08-09 05:09:20,37.4636,-122.4286,66.45,83,75,13.8,broken clouds
53,Huarmey,PE,2022-08-09 05:09:20,-10.0681,-78.1522,61.54,85,35,7.27,scattered clouds
54,Cidreira,BR,2022-08-09 05:09:20,-30.1811,-50.2056,59.5,85,100,13.51,overcast clouds
55,Koslan,RU,2022-08-09 05:09:21,63.4564,48.8989,62.69,53,100,3.2,overcast clouds
56,Viedma,AR,2022-08-09 05:07:43,-40.8135,-62.9967,43.02,71,95,9.06,overcast clouds
57,Tuatapere,NZ,2022-08-09 05:09:22,-46.1333,167.6833,42.37,67,5,3.51,clear sky
58,Aksu,CN,2022-08-09 05:09:22,41.1231,80.2644,77.34,49,100,4.99,overcast clouds
59,Esso,RU,2022-08-09 05:09:22,55.9333,158.7,75.22,48,50,11.61,scattered clouds
60,Torbay,CA,2022-08-09 05:09:23,47.6666,-52.7314,58.75,90,75,8.99,broken clouds
61,Paragominas,BR,2022-08-09 05:09:23,-2.9667,-47.4833,69.31,73,17,3.78,few clouds
62,Lebu,CL,2022-08-09 05:09:24,-37.6167,-73.65,44.83,82,86,7.27,overcast clouds
63,Rawson,AR,2022-08-09 05:09:24,-43.3002,-65.1023,42.51,69,61,15.57,broken clouds
64,Arraial Do Cabo,BR,2022-08-09 05:09:24,-22.9661,-42.0278,70.02,89,99,7.56,overcast clouds
65,Saskylakh,RU,2022-08-09 05:09:25,71.9167,114.0833,66.94,58,49,14.2,scattered clouds
66,Hithadhoo,MV,2022-08-09 05:09:25,-0.6,73.0833,81.68,66,75,1.7,broken clouds
67,Kloulklubed,PW,2022-08-09 05:09:26,7.0419,134.2556,84.7,73,98,8.16,overcast clouds
68,Butaritari,KI,2022-08-09 05:09:26,3.0707,172.7902,82.06,76,22,15.32,light rain
69,Hermanus,ZA,2022-08-09 05:09:27,-34.4187,19.2345,54.81,77,5,1.19,clear sky
70,Kavieng,PG,2022-08-09 05:09:27,-2.5744,150.7967,83.5,71,20,8.99,few clouds
71,Yining,CN,2022-08-09 05:09:27,29.0361,114.5636,99.84,36,56,8.95,broken clouds
72,Chuy,UY,2022-08-09 05:09:28,-33.6971,-53.4616,47.7,87,64,7.43,broken clouds
73,Kutum,SD,2022-08-09 05:09:28,14.2,24.6667,73.02,71,100,2.15,overcast clouds
