City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Waddan,LY,2022-08-08 21:56:04,29.1614,16.139,83.26,45,0,13.96
1,Ponta Do Sol,PT,2022-08-08 21:56:05,32.6667,-17.1,72.23,71,0,5.64
2,Canals,ES,2022-08-08 21:56:05,38.9625,-0.5844,82.02,81,0,4.0
3,Betamcherla,IN,2022-08-08 21:56:06,15.4667,78.1667,74.86,78,100,19.35
4,Athmallik,IN,2022-08-08 21:56:06,20.7219,84.5348,77.25,93,100,0.94
5,Puerto Ayora,EC,2022-08-08 21:56:07,-0.7393,-90.3518,75.16,86,55,5.01
6,Kushmurun,KZ,2022-08-08 21:56:07,52.4503,64.6311,60.69,71,12,8.41
7,Coquimbo,CL,2022-08-08 21:56:08,-29.9533,-71.3436,60.53,63,0,11.5
8,Carauari,BR,2022-08-08 21:56:08,-4.8828,-66.8958,80.29,74,98,1.45
9,Bethel,US,2022-08-08 21:56:09,41.3712,-73.414,89.15,66,94,8.32
10,Brae,GB,2022-08-08 21:56:09,60.3964,-1.353,55.83,98,100,9.86
11,Newport,GB,2022-08-08 21:56:09,51.5877,-2.9984,70.68,73,0,8.46
12,Malakwal,PK,2022-08-08 21:56:10,32.5536,73.2123,87.24,66,7,3.74
13,Chokurdakh,RU,2022-08-08 21:56:10,70.6333,147.9167,57.92,43,96,4.99
14,Bengkulu,ID,2022-08-08 21:54:24,-3.8004,102.2655,75.42,89,59,7.38
15,Nikolskoye,RU,2022-08-08 21:56:11,59.7035,30.7861,57.87,96,79,0.63
16,Rikitea,PF,2022-08-08 21:56:11,-23.1203,-134.9692,72.86,80,100,23.55
17,Pisco,PE,2022-08-08 21:56:12,-13.7,-76.2167,66.25,68,0,13.8
18,Ribeira Grande,PT,2022-08-08 21:56:12,38.5167,-28.7,73.8,88,40,8.05
19,Busselton,AU,2022-08-08 21:56:12,-33.65,115.3333,47.88,83,98,14.12
20,Tomatlan,MX,2022-08-08 21:56:13,19.9333,-105.25,88.81,59,100,10.16
21,Mataura,NZ,2022-08-08 21:56:13,-46.1927,168.8643,34.48,72,7,6.98
22,Geraldton,AU,2022-08-08 21:56:13,-28.7667,114.6,54.01,82,100,18.41
23,Lazaro Cardenas,MX,2022-08-08 21:56:14,17.9583,-102.2,82.54,75,100,3.53
24,Provideniya,RU,2022-08-08 21:56:14,64.3833,-173.3,46.51,66,75,15.99
25,Carnarvon,AU,2022-08-08 21:56:15,-24.8667,113.6333,65.39,51,63,20.22
26,Dikson,RU,2022-08-08 21:56:15,73.5069,80.5464,42.66,97,99,18.79
27,Georgetown,MY,2022-08-08 21:55:40,5.4112,100.3354,81.9,89,20,3.44
28,Victoria,HK,2022-08-08 21:56:01,22.2855,114.1577,81.32,87,98,11.01
29,New Norfolk,AU,2022-08-08 21:56:16,-42.7826,147.0587,35.71,88,6,2.66
30,Alyangula,AU,2022-08-08 21:56:17,-13.8483,136.4192,73.87,63,8,16.2
31,Albany,US,2022-08-08 21:56:18,42.6001,-73.9662,93.79,52,57,4.0
32,Concordia,AR,2022-08-08 21:56:18,-31.393,-58.0209,56.79,80,100,8.01
33,Luderitz,NA,2022-08-08 21:56:19,-26.6481,15.1594,58.1,65,32,2.37
34,Airai,TL,2022-08-08 21:56:19,-8.9266,125.4092,56.5,67,53,3.87
35,Andenes,NO,2022-08-08 21:56:19,69.3143,16.1194,51.78,82,100,6.91
36,Castro,BR,2022-08-08 21:56:20,-24.7911,-50.0119,60.22,91,100,4.56
37,Butaritari,KI,2022-08-08 21:56:20,3.0707,172.7902,80.74,80,85,15.03
